ID,Prediction
file_0.txt,4
file_1.txt,2
file_10.txt,1
file_100.txt,3
file_101.txt,4
file_102.txt,4
file_103.txt,2
file_104.txt,3
file_105.txt,0
file_106.txt,1
file_107.txt,3
file_108.txt,2
file_109.txt,0
file_11.txt,2
file_110.txt,3
file_111.txt,2
file_112.txt,4
file_113.txt,0
file_114.txt,5
file_115.txt,3
file_116.txt,0
file_117.txt,5
file_118.txt,1
file_119.txt,1
file_12.txt,5
file_120.txt,0
file_121.txt,4
file_122.txt,6
file_123.txt,4
file_124.txt,2
file_125.txt,1
file_126.txt,2
file_127.txt,0
file_128.txt,4
file_129.txt,2
file_13.txt,5
file_130.txt,6
file_131.txt,2
file_132.txt,4
file_133.txt,4
file_134.txt,1
file_135.txt,1
file_136.txt,4
file_137.txt,2
file_138.txt,2
file_139.txt,4
file_14.txt,4
file_140.txt,2
file_141.txt,6
file_142.txt,2
file_143.txt,6
file_144.txt,4
file_145.txt,4
file_146.txt,3
file_147.txt,5
file_148.txt,1
file_149.txt,4
file_15.txt,1
file_150.txt,5
file_151.txt,4
file_152.txt,1
file_153.txt,5
file_154.txt,5
file_155.txt,0
file_156.txt,5
file_157.txt,2
file_158.txt,4
file_159.txt,1
file_16.txt,0
file_160.txt,1
file_161.txt,2
file_162.txt,0
file_163.txt,5
file_164.txt,1
file_165.txt,4
file_166.txt,2
file_167.txt,2
file_168.txt,5
file_169.txt,4
file_17.txt,4
file_170.txt,6
file_171.txt,5
file_172.txt,2
file_173.txt,5
file_174.txt,2
file_175.txt,1
file_176.txt,2
file_177.txt,4
file_178.txt,2
file_179.txt,5
file_18.txt,1
file_180.txt,1
file_181.txt,6
file_182.txt,1
file_183.txt,0
file_184.txt,1
file_185.txt,2
file_186.txt,6
file_187.txt,1
file_188.txt,4
file_189.txt,0
file_19.txt,4
file_190.txt,0
file_191.txt,6
file_192.txt,3
file_193.txt,1
file_194.txt,1
file_195.txt,2
file_196.txt,2
file_197.txt,6
file_198.txt,1
file_199.txt,2
file_2.txt,1
file_20.txt,4
file_200.txt,4
file_201.txt,2
file_202.txt,4
file_203.txt,2
file_204.txt,4
file_205.txt,4
file_206.txt,4
file_207.txt,1
file_208.txt,1
file_209.txt,5
file_21.txt,4
file_210.txt,5
file_211.txt,6
file_212.txt,2
file_213.txt,2
file_214.txt,2
file_215.txt,0
file_216.txt,4
file_217.txt,1
file_218.txt,0
file_219.txt,0
file_22.txt,4
file_220.txt,1
file_221.txt,1
file_222.txt,5
file_223.txt,4
file_224.txt,0
file_225.txt,5
file_226.txt,0
file_227.txt,3
file_228.txt,4
file_229.txt,1
file_23.txt,4
file_230.txt,4
file_231.txt,2
file_232.txt,0
file_233.txt,2
file_234.txt,0
file_235.txt,0
file_236.txt,1
file_237.txt,4
file_238.txt,4
file_239.txt,1
file_24.txt,2
file_240.txt,4
file_241.txt,1
file_242.txt,1
file_243.txt,1
file_244.txt,1
file_245.txt,1
file_246.txt,4
file_247.txt,4
file_248.txt,6
file_249.txt,2
file_25.txt,5
file_26.txt,4
file_27.txt,2
file_28.txt,1
file_29.txt,1
file_3.txt,1
file_30.txt,6
file_31.txt,2
file_32.txt,1
file_33.txt,0
file_34.txt,0
file_35.txt,0
file_36.txt,2
file_37.txt,3
file_38.txt,1
file_39.txt,2
file_4.txt,3
file_40.txt,1
file_41.txt,4
file_42.txt,5
file_43.txt,2
file_44.txt,2
file_45.txt,1
file_46.txt,2
file_47.txt,6
file_48.txt,0
file_49.txt,4
file_5.txt,4
file_50.txt,4
file_51.txt,2
file_52.txt,4
file_53.txt,5
file_54.txt,4
file_55.txt,4
file_56.txt,1
file_57.txt,6
file_58.txt,1
file_59.txt,5
file_6.txt,1
file_60.txt,0
file_61.txt,1
file_62.txt,0
file_63.txt,2
file_64.txt,6
file_65.txt,2
file_66.txt,2
file_67.txt,5
file_68.txt,4
file_69.txt,3
file_7.txt,4
file_70.txt,1
file_71.txt,2
file_72.txt,4
file_73.txt,5
file_74.txt,4
file_75.txt,1
file_76.txt,4
file_77.txt,6
file_78.txt,2
file_79.txt,2
file_8.txt,2
file_80.txt,4
file_81.txt,2
file_82.txt,4
file_83.txt,4
file_84.txt,1
file_85.txt,1
file_86.txt,4
file_87.txt,4
file_88.txt,2
file_89.txt,2
file_9.txt,1
file_90.txt,4
file_91.txt,6
file_92.txt,0
file_93.txt,1
file_94.txt,4
file_95.txt,5
file_96.txt,4
file_97.txt,4
file_98.txt,0
file_99.txt,2
